customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
4183-MYFRB,21,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,Female,0,No,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,No
8779-QRDMV,1,No,Month-to-month,Yes,Electronic check,39.65,39.65,Male,1,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes
1680-VDCWW,12,Yes,One year,No,Bank transfer (automatic),19.8,202.25,Male,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1066-JKSGK,1,Yes,Month-to-month,No,Mailed check,20.15,20.15,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
3638-WEABW,58,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,Female,0,Yes,No,Yes,DSL,No,Yes,No,Yes,No,No,No
6322-HRPFA,49,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,Male,0,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No
6865-JZNKO,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Female,0,No,No,No,DSL,Yes,Yes,No,No,No,No,No
6467-CHFZW,47,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes
8665-UTDHZ,1,No,Month-to-month,No,Electronic check,30.2,30.2,Male,0,Yes,Yes,No phone service,DSL,No,Yes,No,No,No,No,Yes
5248-YGIJN,72,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,Male,0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
8773-HHUOZ,17,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Female,0,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes
3841-NFECX,71,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,Female,1,Yes,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No
4929-XIHVW,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Male,1,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,No
6827-IEAUQ,27,Yes,One year,No,Mailed check,66.15,1874.45,Female,0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,No
7310-EGVHZ,1,Yes,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3413-BMNZE,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Male,1,No,No,No,DSL,No,No,No,No,No,No,No
6234-RAAPL,72,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No
6047-YHPVI,5,Yes,Month-to-month,Yes,Electronic check,69.7,316.9,Male,0,No,No,No,Fiber optic,No,No,No,No,No,No,Yes
6572-ADKRS,46,Yes,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Female,0,No,No,No,Fiber optic,No,No,Yes,No,No,No,No
5380-WJKOV,34,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes
8168-UQWWF,11,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Female,0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes
8865-TNMNX,10,Yes,One year,No,Mailed check,49.55,475.7,Male,0,Yes,Yes,No,DSL,No,Yes,No,No,No,No,No
9489-DEDVP,70,Yes,Two year,Yes,Credit card (automatic),69.2,4872.35,Female,0,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,No
9867-JCZSP,17,Yes,One year,No,Mailed check,20.75,418.25,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4671-VJLCL,63,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,Female,0,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No
4080-IIARD,13,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,Female,0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No
3714-NTNFO,49,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,Female,0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,No
5948-UJZLF,2,Yes,Month-to-month,No,Mailed check,49.25,97,Male,0,No,No,No,DSL,No,Yes,No,No,No,No,No
7760-OYPDY,2,Yes,Month-to-month,Yes,Electronic check,80.65,144.15,Female,0,No,No,No,Fiber optic,No,No,No,No,Yes,No,Yes
7639-LIAYI,52,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,Male,0,No,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No
2954-PIBKO,69,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,Female,0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No
8012-SOUDQ,43,Yes,Month-to-month,Yes,Electronic check,90.25,3838.75,Female,1,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
9420-LOJKX,15,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Female,0,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes
6575-SUVOI,25,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Female,1,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,No,No
7495-OOKFY,8,Yes,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Female,1,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,Yes
4667-QONEA,60,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,Female,1,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No
1658-BYGOY,18,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Male,1,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes
8769-KKTPH,63,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,Female,0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No
5067-XJQFU,66,Yes,One year,Yes,Electronic check,108.45,7076.35,Male,1,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No
3957-SQXML,34,Yes,Two year,No,Credit card (automatic),24.95,894.3,Female,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5954-BDFSG,72,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,Female,0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,No
0434-CSFON,47,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,Female,0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No
1215-FIGMP,60,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Male,0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
0526-SXDJP,72,No,Two year,No,Bank transfer (automatic),42.1,2962,Male,0,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No
0557-ASKVU,18,Yes,One year,Yes,Credit card (automatic),54.4,957.1,Female,0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,No
5698-BQJOH,9,Yes,Month-to-month,No,Electronic check,94.4,857.25,Female,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes
5122-CYFXA,3,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,Female,0,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,No
8627-ZYGSZ,47,Yes,One year,Yes,Electronic check,78.9,3650.35,Male,0,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,No
3410-YOQBQ,31,Yes,Two year,No,Mailed check,79.2,2497.2,Female,0,No,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No
3170-NMYVV,50,Yes,Two year,No,Bank transfer (automatic),20.15,930.9,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7410-OIEDU,10,Yes,Month-to-month,Yes,Mailed check,79.85,887.35,Male,0,No,No,No,Fiber optic,Yes,No,Yes,No,No,No,No
2273-QCKXA,1,Yes,Month-to-month,No,Mailed check,49.05,49.05,Male,0,No,No,No,DSL,No,No,No,Yes,No,No,No
0731-EBJQB,52,Yes,One year,Yes,Electronic check,20.4,1090.65,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
1891-QRQSA,64,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,Male,1,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No
8028-PNXHQ,62,Yes,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Male,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5630-AHZIL,3,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Female,0,No,Yes,No,DSL,Yes,No,No,Yes,No,Yes,No
2673-CXQEU,56,Yes,One year,No,Electronic check,110.5,6139.5,Female,1,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No
6416-JNVRK,46,Yes,One year,No,Credit card (automatic),55.65,2688.85,Female,0,No,No,No,DSL,No,No,No,No,No,Yes,No
5590-ZSKRV,8,Yes,Month-to-month,No,Mailed check,54.65,482.25,Female,0,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,No
0191-ZHSKZ,30,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,Male,1,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No
3887-PBQAO,45,Yes,One year,Yes,Credit card (automatic),25.9,1216.6,Female,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5919-TMRGD,1,Yes,Month-to-month,Yes,Electronic check,79.35,79.35,Female,0,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes
8108-UXRQN,11,No,Month-to-month,No,Electronic check,50.55,565.35,Female,0,Yes,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,No
9191-MYQKX,7,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Female,0,Yes,No,No,Fiber optic,No,No,Yes,No,No,No,Yes
9919-YLNNG,42,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Female,0,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No
0318-ZOPWS,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,973.35,Female,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4445-ZJNMU,9,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Male,0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No
4808-YNLEU,35,Yes,One year,Yes,Bank transfer (automatic),62.15,2215.45,Female,0,Yes,No,No,DSL,Yes,No,No,No,Yes,No,No
1862-QRWPE,48,Yes,Two year,No,Bank transfer (automatic),20.65,1057,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2796-NNUFI,46,Yes,Two year,Yes,Mailed check,19.95,927.1,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3016-KSVCP,29,No,Month-to-month,No,Mailed check,33.75,1009.25,Male,0,Yes,No,No phone service,DSL,No,No,No,No,Yes,No,No
4767-HZZHQ,30,Yes,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Male,0,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,No
2424-WVHPL,1,Yes,Month-to-month,No,Electronic check,74.7,74.7,Male,1,No,No,No,Fiber optic,No,No,No,Yes,No,No,No
7233-PAHHL,66,Yes,Two year,Yes,Mailed check,84,5714.25,Male,0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,No
6067-NGCEU,65,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,Female,0,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No
9848-JQJTX,72,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Male,0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No
8637-XJIVR,12,Yes,Month-to-month,Yes,Electronic check,78.95,927.35,Female,0,No,No,Yes,Fiber optic,Yes,No,No,No,No,No,Yes
9803-FTJCG,71,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,Male,0,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No
0278-YXOOG,5,Yes,Month-to-month,No,Mailed check,21.05,113.85,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
3212-KXOCR,52,Yes,Two year,No,Bank transfer (automatic),21,1107.2,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4598-XLKNJ,25,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Female,1,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes
6380-ARCEH,1,Yes,Month-to-month,No,Mailed check,20.2,20.2,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3679-XASPY,1,Yes,Month-to-month,No,Electronic check,19.45,19.45,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7123-WQUHX,38,Yes,One year,No,Bank transfer (automatic),95,3605.6,Male,0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No
5386-THSLQ,66,No,One year,No,Bank transfer (automatic),45.55,3027.25,Female,1,Yes,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,No
3192-NQECA,68,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85,Male,0,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes
6180-YBIQI,5,No,Month-to-month,No,Mailed check,24.3,100.2,Male,0,No,No,No phone service,DSL,No,No,No,No,No,No,No
6728-DKUCO,72,Yes,One year,Yes,Electronic check,104.15,7303.05,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,No
9750-BOOHV,32,No,One year,No,Mailed check,30.15,927.65,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No,No
8597-CWYHH,43,Yes,One year,No,Mailed check,94.35,3921.3,Male,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,No
2848-YXSMW,72,Yes,Two year,No,Credit card (automatic),19.4,1363.25,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0486-HECZI,55,Yes,Month-to-month,Yes,Electronic check,96.75,5238.9,Male,0,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes
4549-ZDQYY,52,Yes,One year,No,Credit card (automatic),57.95,3042.25,Female,0,No,No,No,DSL,Yes,No,Yes,Yes,No,No,No
5712-AHQNN,43,Yes,Month-to-month,Yes,Electronic check,91.65,3954.1,Female,0,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,No
4846-WHAFZ,37,Yes,Month-to-month,Yes,Electronic check,76.5,2868.15,Female,1,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Yes
5256-SKJGO,64,No,Two year,Yes,Electronic check,54.6,3423.5,Female,0,Yes,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,No
3071-VBYPO,3,Yes,Month-to-month,No,Electronic check,89.85,248.4,Male,0,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,No
9560-BBZXK,36,No,Two year,No,Bank transfer (automatic),31.05,1126.35,Female,0,No,No,No phone service,DSL,Yes,No,No,No,No,No,No
5299-RULOA,10,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Female,0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes
8402-OOOHJ,41,Yes,Two year,No,Mailed check,20.65,835.15,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
9445-ZUEQE,27,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Male,0,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,No
1091-SOZGA,56,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,Female,0,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No
2928-HLDBA,6,Yes,Month-to-month,No,Mailed check,20.7,112.75,Female,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0404-SWRVG,3,Yes,Month-to-month,Yes,Electronic check,74.4,229.55,Male,0,No,No,Yes,Fiber optic,No,No,No,No,No,No,Yes
6497-TILVL,7,Yes,Month-to-month,No,Mailed check,50.7,350.35,Female,0,Yes,Yes,No,DSL,Yes,No,No,No,No,No,No
7219-TLZHO,4,Yes,Month-to-month,No,Mailed check,20.85,62.9,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
4622-YNKIJ,33,Yes,Two year,Yes,Electronic check,88.95,3027.65,Male,0,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,No
4412-YLTKF,27,Yes,Month-to-month,Yes,Electronic check,78.05,2135.5,Female,1,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,Yes
6734-PSBAW,72,Yes,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Male,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3930-ZGWVE,1,Yes,Month-to-month,No,Mailed check,19.75,19.75,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2639-UGMAZ,71,No,One year,Yes,Electronic check,56.45,3985.35,Male,1,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,No
2876-GZYZC,13,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,Female,0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,No
6207-WIOLX,25,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Female,0,Yes,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes
8587-XYZSF,67,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,Male,0,No,No,No,DSL,No,No,No,Yes,No,No,No
3091-FYHKI,1,No,Month-to-month,Yes,Electronic check,35.45,35.45,Male,0,No,No,No phone service,DSL,No,No,No,No,No,Yes,Yes
2372-HWUHI,2,Yes,Month-to-month,No,Electronic check,44.35,81.25,Male,0,No,No,No,DSL,No,No,No,No,No,No,Yes
7799-LGRDP,43,Yes,Two year,Yes,Credit card (automatic),25.7,1188.2,Female,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
7850-VWJUU,23,Yes,Month-to-month,Yes,Bank transfer (automatic),75,1778.5,Female,0,No,No,No,Fiber optic,Yes,No,No,No,No,No,No
3774-VBNXY,64,Yes,Two year,No,Mailed check,20.2,1277.75,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6217-KDYWC,57,Yes,Two year,Yes,Mailed check,19.6,1170.55,Male,0,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0390-DCFDQ,1,Yes,Month-to-month,Yes,Mailed check,70.45,70.45,Female,1,Yes,No,No,Fiber optic,No,No,No,No,No,No,Yes
3146-MSEGF,72,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,Female,1,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
4080-OGPJL,8,Yes,Month-to-month,No,Electronic check,71.15,563.65,Female,0,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes
1095-WGNGG,61,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Female,0,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,No
2636-SJDOU,64,Yes,One year,Yes,Credit card (automatic),84.3,5289.05,Male,0,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,No
1131-QQZEB,71,Yes,Two year,No,Bank transfer (automatic),23.95,1756.2,Male,1,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
5716-EZXZN,65,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No
6837-BJYDQ,3,Yes,One year,No,Mailed check,19.6,61.35,Male,0,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
2135-RXIHG,1,Yes,Month-to-month,Yes,Electronic check,45.65,45.65,Male,0,No,No,No,DSL,No,No,No,No,No,No,Yes
6440-DKQGE,30,Yes,One year,No,Credit card (automatic),64.5,1929.95,Male,0,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No
3466-BYAVD,15,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,Male,0,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,No
3780-YVMFA,8,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,Female,0,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,No
3874-EQOEP,7,Yes,Month-to-month,No,Mailed check,95,655.5,Male,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes
1679-JRFBR,70,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,Female,0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No
9073-ZZIAY,62,Yes,Two year,No,Electronic check,86.1,5215.25,Male,0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
3077-RSNTJ,6,Yes,Month-to-month,No,Mailed check,19.7,113.5,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6551-GNYDG,14,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Female,0,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,No
9167-APMXZ,22,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Female,0,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,No
2749-CTKAJ,22,Yes,One year,No,Mailed check,20.15,419.9,Male,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6371-NZYEG,16,Yes,Two year,No,Mailed check,64.25,1024,Male,0,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No
7554-NEWDD,10,Yes,Two year,No,Bank transfer (automatic),25.7,251.6,Male,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
8992-VONJD,13,Yes,Month-to-month,Yes,Electronic check,56,764.55,Female,0,No,Yes,No,DSL,Yes,Yes,No,No,No,No,No
0867-MKZVY,20,Yes,Month-to-month,No,Electronic check,82.4,1592.35,Female,0,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,Yes
4482-EWFMI,2,Yes,Month-to-month,Yes,Electronic check,69.7,135.2,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No,No
4648-YPBTM,53,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,Male,0,No,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No
2907-ILJBN,11,Yes,One year,No,Mailed check,20.6,233.9,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
6345-FZOQH,69,Yes,Two year,No,Mailed check,19.9,1363.45,Male,0,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
3376-BMGFE,4,Yes,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Female,0,No,No,No,Fiber optic,No,No,No,No,No,No,Yes
5997-OPVFA,72,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,Male,0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No
3445-HXXGF,58,No,Month-to-month,Yes,Electronic check,45.3,2651.2,Male,1,Yes,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Yes
1159-WFSGR,16,Yes,Month-to-month,No,Electronic check,20.4,321.4,Female,0,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
